,movie_id,budget,popularity,revenue,title,vote_average,vote_count,director_id,year,month,day,director_name,gender
0,43597,237.0,150,2787.965087,Avatar,7.2,11800,4762,2009,Dec,Thursday,James Cameron,Male
1,43598,300.0,139,961.0,Pirates of the Caribbean: At World's End,6.9,4500,4763,2007,May,Saturday,Gore Verbinski,Male
2,43599,245.0,107,880.674609,Spectre,6.3,4466,4764,2015,Oct,Monday,Sam Mendes,Male
3,43600,250.0,112,1084.939099,The Dark Knight Rises,7.6,9106,4765,2012,Jul,Monday,Christopher Nolan,Male
4,43602,258.0,115,890.871626,Spider-Man 3,5.9,3576,4767,2007,May,Tuesday,Sam Raimi,Male
5,43606,250.0,155,873.260194,Batman v Superman: Dawn of Justice,5.7,7004,4771,2016,Mar,Wednesday,Zack Snyder,Male
6,43607,270.0,57,391.081192,Superman Returns,5.4,1400,4772,2006,Jun,Wednesday,Bryan Singer,Male
7,43608,200.0,107,586.090727,Quantum of Solace,6.1,2965,4773,2008,Oct,Thursday,Marc Forster,Male
8,43609,200.0,145,1065.659812,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,4763,2006,Jun,Tuesday,Gore Verbinski,Male
9,43610,255.0,49,89.28991,The Lone Ranger,5.9,2311,4763,2013,Jul,Wednesday,Gore Verbinski,Male
10,43611,225.0,99,662.845518,Man of Steel,6.5,6359,4771,2013,Jun,Wednesday,Zack Snyder,Male
11,43612,225.0,53,419.651413,The Chronicles of Narnia: Prince Caspian,6.3,1630,4774,2008,May,Thursday,Andrew Adamson,Male
12,43614,380.0,135,1045.713802,Pirates of the Caribbean: On Stranger Tides,6.4,4948,4775,2011,May,Saturday,Rob Marshall,Male
13,43615,225.0,52,624.026776,Men in Black 3,6.2,4160,4776,2012,May,Wednesday,Barry Sonnenfeld,Male
14,43616,250.0,120,956.019788,The Hobbit: The Battle of the Five Armies,7.1,4760,4777,2014,Dec,Wednesday,Peter Jackson,Male
15,43618,200.0,37,310.66954,Robin Hood,6.2,1398,4779,2010,May,Wednesday,Ridley Scott,Male
16,43619,250.0,94,958.4,The Hobbit: The Desolation of Smaug,7.6,4524,4777,2013,Dec,Wednesday,Peter Jackson,Male
17,43620,180.0,42,372.234864,The Golden Compass,5.8,1303,4780,2007,Dec,Tuesday,Chris Weitz,
18,43621,207.0,61,550.0,King Kong,6.6,2337,4777,2005,Dec,Wednesday,Peter Jackson,Male
19,43622,200.0,100,1845.034188,Titanic,7.5,7562,4762,1997,Nov,Tuesday,James Cameron,Male
20,43624,209.0,64,303.025485,Battleship,5.5,2114,4782,2012,Apr,Wednesday,Peter Berg,Male
21,43626,200.0,93,1108.561013,Skyfall,6.9,7604,4764,2012,Oct,Thursday,Sam Mendes,Male
22,43627,200.0,35,783.766341,Spider-Man 2,6.7,4321,4767,2004,Jun,Friday,Sam Raimi,Male
23,43629,200.0,78,1025.49111,Alice in Wonderland,6.4,4645,4785,2010,Mar,Wednesday,Tim Burton,Male
24,43630,210.0,3,459.359555,X-Men: The Last Stand,6.3,3525,4786,2006,May,Wednesday,Brett Ratner,Male
25,43632,150.0,21,836.297228,Transformers: Revenge of the Fallen,6.0,3138,4788,2009,Jun,Friday,Michael Bay,Male
26,43633,210.0,116,1091.405097,Transformers: Age of Extinction,5.8,3095,4788,2014,Jun,Wednesday,Michael Bay,Male
27,43634,200.0,46,491.868548,Oz: The Great and Powerful,5.7,3530,4767,2013,Mar,Thursday,Sam Raimi,Male
28,43638,200.0,51,219.851172,Green Lantern,5.1,2487,4791,2011,Jun,Thursday,Martin Campbell,Male
29,43640,200.0,71,371.353001,Terminator Salvation,5.9,2463,4793,2009,May,Wednesday,McG,Male
30,43641,190.0,102,1506.24936,Furious 7,7.3,4176,4794,2015,Apr,Wednesday,James Wan,Male
31,43642,200.0,81,531.865,World War Z,6.7,5560,4773,2013,Jun,Thursday,Marc Forster,Male
32,43643,250.0,118,747.862775,X-Men: Days of Future Past,7.5,6032,4772,2014,May,Thursday,Bryan Singer,Male
33,43645,195.0,43,197.687603,Jack the Giant Slayer,5.5,2598,4772,2013,Feb,Wednesday,Bryan Singer,Male
34,43647,150.0,62,335.154643,Prince of Persia: The Sands of Time,6.2,2317,4797,2010,May,Wednesday,Mike Newell,Male
35,43648,180.0,56,407.602906,Pacific Rim,6.7,4794,4798,2013,Jul,Thursday,Guillermo del Toro,Male
36,43649,195.0,28,1123.746996,Transformers: Dark of the Moon,6.1,3299,4788,2011,Jun,Tuesday,Michael Bay,Male
37,43650,185.0,75,786.636033,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,4799,2008,May,Wednesday,Steven Spielberg,Male
38,43653,185.0,65,343.471816,Star Trek Beyond,6.6,2568,4802,2016,Jul,Thursday,Justin Lin,
39,43655,140.0,22,258.022233,Rush Hour 3,6.1,783,4786,2007,Aug,Wednesday,Brett Ratner,Male
40,43656,200.0,45,769.653595,2012,5.6,4903,4803,2009,Oct,Saturday,Roland Emmerich,Male
41,43657,200.0,39,325.233863,A Christmas Carol,6.6,1095,4804,2009,Nov,Wednesday,Robert Zemeckis,Male
42,43658,176.000003,85,183.987723,Jupiter Ascending,5.2,2768,4805,2015,Feb,Wednesday,Lilly Wachowski,Female
43,43660,180.0,67,748.806957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,4774,2005,Dec,Wednesday,Andrew Adamson,Male
44,43661,178.0,139,543.934787,X-Men: Apocalypse,6.4,4721,4772,2016,May,Wednesday,Bryan Singer,Male
45,43662,185.0,187,1004.558444,The Dark Knight,8.2,12002,4765,2008,Jul,Wednesday,Christopher Nolan,Male
46,43665,140.0,120,585.174222,Iron Man,7.4,8776,4808,2008,Apr,Wednesday,Jon Favreau,Male
47,43666,170.0,32,185.77016,Hugo,7.0,2141,4809,2011,Nov,Tuesday,Martin Scorsese,Male
48,43667,170.0,40,222.104681,Wild Wild West,5.1,1020,4776,1999,Jun,Tuesday,Barry Sonnenfeld,Male
49,43668,145.0,60,401.128639,The Mummy: Tomb of the Dragon Emperor,5.2,1387,4810,2008,Jul,Tuesday,Rob Cohen,Male
50,43669,175.0,90,745.0,Suicide Squad,5.9,7458,4811,2016,Aug,Tuesday,David Ayer,
51,43670,175.0,27,173.0,Evan Almighty,5.3,1151,4812,2007,Jun,Saturday,Tom Shadyac,Male
52,43671,178.0,79,370.541256,Edge of Tomorrow,7.6,4858,4813,2014,May,Tuesday,Doug Liman,Male
53,43672,175.0,44,264.21822,Waterworld,5.9,992,4814,1995,Jul,Friday,Kevin Reynolds,
54,43675,175.0,94,966.5506,The Jungle Book,6.7,2892,4808,2016,Apr,Thursday,Jon Favreau,Male
55,43676,200.0,77,623.933331,Iron Man 2,6.6,6849,4808,2010,Apr,Wednesday,Jon Favreau,Male
56,43687,165.0,47,305.87573,The Polar Express,6.4,1474,4804,2004,Nov,Wednesday,Robert Zemeckis,Male
57,43688,165.0,48,389.681935,Independence Day: Resurgence,4.9,2491,4803,2016,Jun,Wednesday,Roland Emmerich,Male
58,43692,165.0,724,675.120017,Interstellar,8.1,10867,4765,2014,Nov,Wednesday,Christopher Nolan,Male
59,43693,160.0,167,825.532764,Inception,8.1,13752,4765,2010,Jul,Wednesday,Christopher Nolan,Male
60,43695,250.0,108,1021.103568,The Hobbit: An Unexpected Journey,7.0,8297,4777,2012,Nov,Monday,Peter Jackson,Male
61,43696,38.0,6,207.283925,The Fast and the Furious,6.6,3428,4810,2001,Jun,Friday,Rob Cohen,Male
62,43697,150.0,60,333.932083,The Curious Case of Benjamin Button,7.3,3292,4829,2008,Nov,Monday,David Fincher,Male
63,43699,160.0,127,653.428261,The Hunger Games: Mockingjay - Part 2,6.6,3984,4831,2015,Nov,Wednesday,Francis Lawrence,Male
64,43700,150.0,35,215.283742,The Sorcerer's Apprentice,5.8,1470,4832,2010,Jul,Tuesday,Jon Turteltaub,Male
65,43701,160.0,21,181.674817,Poseidon,5.5,583,4833,2006,May,Friday,Wolfgang Petersen,Male
66,43706,155.0,49,415.686217,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,4838,2010,Aug,Friday,Michael Apted,Male
67,43707,140.0,34,449.220945,Pearl Harbor,6.6,1791,4788,2001,May,Monday,Michael Bay,Male
68,43708,150.0,25,709.70978,Transformers,6.6,4040,4788,2007,Jun,Wednesday,Michael Bay,Male
69,43709,155.0,39,167.298192,Alexander,5.6,927,4839,2004,Nov,Sunday,Oliver Stone,Male
70,43711,150.0,101,895.921036,Harry Potter and the Goblet of Fire,7.5,5608,4797,2005,Nov,Saturday,Mike Newell,Male
71,43712,150.0,56,624.029371,Hancock,6.2,2961,4782,2008,Jul,Tuesday,Peter Berg,Male
72,43713,150.0,70,585.34901,I Am Legend,6.9,4853,4831,2007,Dec,Friday,Francis Lawrence,Male
73,43714,150.0,53,474.968763,Charlie and the Chocolate Factory,6.7,3624,4785,2005,Jul,Wednesday,Tim Burton,Male
74,43716,150.0,115,374.218673,Batman Begins,7.5,7359,4765,2005,Jun,Friday,Christopher Nolan,Male
75,43718,150.0,81,413.10617,Night at the Museum: Battle of the Smithsonian,5.9,1971,4842,2009,May,Wednesday,Shawn Levy,Male
76,43720,150.0,73,424.988211,The Matrix Revolutions,6.4,3096,4805,2003,Nov,Wednesday,Lilly Wachowski,Female
77,43722,150.0,70,738.599701,The Matrix Reloaded,6.7,3443,4805,2003,May,Thursday,Lilly Wachowski,Female
78,43724,150.0,434,378.85834,Mad Max: Fury Road,7.2,9427,4845,2015,May,Wednesday,George Miller,Male
79,43725,150.0,67,356.613439,Angels & Demons,6.5,2129,4846,2009,May,Wednesday,Ron Howard,Male
